time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/episodes,network_speed,ego_speed,train/critic_loss,train/n_updates,train/actor_loss,train/ent_coef,train/learning_rate
2444,891467,96.49,25.26492776,119,9724,21.495499550494834,21.98875409082624,12.934440612792969,222766,-3.843371629714966,0.0,0.0005
2447,891844,97.14,26.25803989,119,9728,21.02913972586403,14.892422767087737,9.390111923217773,222860,-4.080785751342773,0.0,0.0005
2451,892256,97.55,28.363785470000003,119,9732,17.380000304227202,16.753842670343214,14.816179275512695,222963,-3.895297050476074,0.0,0.0005
2454,892668,98.18,29.910249609999997,119,9736,20.044456085792376,18.071301793192713,12.461785316467285,223066,-2.1159791946411133,0.0,0.0005
2458,893027,98.05,30.19060931,119,9740,19.032839863764426,22.183173775800164,13.760623931884766,223156,-5.722058296203613,0.0,0.0005
2460,893377,98.34,30.489336650000006,119,9744,21.44324837726129,15.614340499463852,11.88389778137207,223244,-3.4702084064483643,0.0,0.0005
2463,893781,98.19,30.783768410000004,119,9748,19.042102174319968,16.797855157639535,15.16943645477295,223345,-6.223135948181152,0.0,0.0005
2467,894156,98.31,30.881851730000005,119,9752,20.882683071481743,19.861000056655442,18.840972900390625,223438,-5.753156661987305,0.0,0.0005
2469,894476,97.14,31.228536069999997,119,9756,22.38619953606194,20.86057055556058,14.568981170654297,223518,-5.741958141326904,0.0,0.0005
2472,894800,95.93,31.553772910000003,119,9760,20.814202902836495,18.26371837706174,9.769254684448242,223599,-4.362001419067383,0.0,0.0005
2476,895205,96.01,31.608269380000003,119,9764,19.73157031373825,16.4100374913255,12.013738632202148,223701,-3.934572219848633,0.0,0.0005
2477,895441,94.39,29.103367189999993,119,9768,20.29880376852536,25.558381115420755,19.608835220336914,223760,-3.06984806060791,0.0,0.0005
2480,895758,94.39,31.936729799999988,119,9772,19.340894476559708,21.855370797259248,8.02220630645752,223839,-3.110201835632324,0.0,0.0005
2484,896188,95.29,31.906140580000002,119,9776,18.49827501156528,21.50499289832579,18.05294418334961,223946,-6.406706809997559,0.0,0.0005
2487,896520,94.07,32.10648995,119,9780,16.33893458097165,15.584091896727097,43.190887451171875,224029,-1.9605262279510498,0.0,0.0005
2490,896954,94.33,31.849093869999997,119,9784,19.894209747941844,12.99829022913975,18.322139739990234,224138,-4.066163063049316,0.0,0.0005
2493,897330,93.95,31.741163730000004,119,9788,21.052971667003213,23.707591185631145,15.847848892211914,224232,-4.134675979614258,0.0,0.0005
2496,897643,93.55,29.186572170000005,119,9792,17.849546427357975,14.403189909880663,9.28804874420166,224310,-3.4949426651000977,0.0,0.0005
2498,897951,93.28,29.734383570000006,119,9796,23.04426866100195,26.33930456579598,8.56087875366211,224387,-5.107287883758545,0.0,0.0005
2501,898353,92.86,29.923815219999998,119,9800,20.042138245589005,16.207193420214406,13.090047836303711,224488,-3.3860950469970703,0.0,0.0005
2505,898827,93.87,29.974549449999998,119,9804,18.523321509066434,13.416926070720281,25.28148078918457,224606,-3.092942476272583,0.0,0.0005
2509,899280,94.43,29.805005020000003,119,9808,19.297734358195015,14.59429929621449,14.998128890991211,224719,-4.692361831665039,0.0,0.0005
2512,899626,94.34,29.74643451,119,9812,20.48426628532677,25.067293394566576,25.732105255126953,224806,-4.7328009605407715,0.0,0.0005
2514,899985,92.61,30.166777900000003,119,9816,20.893506068949137,22.447043159426112,11.610649108886719,224896,-6.786900520324707,0.0,0.0005
2518,900379,92.75,30.08530209,119,9820,22.274798736604538,16.04635361250478,12.340336799621582,224994,-5.565944671630859,0.0,0.0005
2521,900732,92.65,29.861012730000002,119,9824,19.675492745076372,18.3226579078714,15.360343933105469,225082,-3.480074167251587,0.0,0.0005
2526,901257,94.13,30.728843809999997,119,9828,17.923211530599687,12.926753518782213,7.403482437133789,225214,-5.08334493637085,0.0,0.0005
2529,901680,94.24,31.206168379999998,119,9832,22.56391693806933,22.722708721942638,23.052589416503906,225319,-4.4598493576049805,0.0,0.0005
2532,902041,93.73,31.31034807,119,9836,22.606225794493692,22.970349597389273,13.754344940185547,225410,-1.833237648010254,0.0,0.0005
2535,902499,94.72,31.183940989999993,119,9840,20.2663135857581,19.982877911080784,10.028254508972168,225524,-3.4163284301757812,0.0,0.0005
2538,902788,94.11,31.2713567,119,9844,20.83224907012065,22.142566447811816,13.017688751220703,225596,-2.6672191619873047,0.0,0.0005
2541,903136,93.55,30.965413320000003,119,9848,22.41353481014622,22.64456591672099,12.532757759094238,225683,-2.598329544067383,0.0,0.0005
2545,903527,93.71,30.838179420000003,119,9852,21.48850296282773,22.303250581282686,17.616424560546875,225781,-3.955671787261963,0.0,0.0005
2547,903840,93.64,30.65339299,119,9856,21.810737736134225,21.93550131031887,14.933877944946289,225859,-1.8792515993118286,0.0,0.0005
2551,904268,94.68,30.591469589999992,119,9860,22.29117365229846,23.59185558908189,6.551215171813965,225966,-6.742177486419678,0.0,0.0005
2554,904627,94.22,30.77072164999999,119,9864,20.904096182362064,25.54734177547875,72.92807006835938,226056,-3.0622758865356445,0.0,0.0005
