run_name,training_seed,collision_reward,offramp_reward,evaluation_seed,crashrate,mergerate,ego_speed,network_speed,other_crashrate,evaluation_episodes,evaluation_seconds,model_path
Aug_27_18_38_20_collision_offramp_sweep_84,,200,50,32,0.018,0.981,20.804048066076444,19.91349595771211,0.001,1000,73.31235885620117,results/Aug_27_18_38_20_collision_offramp_sweep_84/models/model_collision_offramp_sweep_seed_84.zip
Aug_27_18_38_20_collision_offramp_sweep_84,,200,50,1032,0.017,0.979,20.358797612952642,19.826912804548154,0.006,1000,75.75983166694641,results/Aug_27_18_38_20_collision_offramp_sweep_84/models/model_collision_offramp_sweep_seed_84.zip
Aug_27_18_38_20_collision_offramp_sweep_84,,200,50,2032,0.017,0.98,20.672910652921136,19.874746149881553,0.003,1000,75.29108452796936,results/Aug_27_18_38_20_collision_offramp_sweep_84/models/model_collision_offramp_sweep_seed_84.zip
Aug_27_18_38_20_collision_offramp_sweep_84,,200,50,3032,0.013,0.986,20.722513148360417,19.85175830406665,0.001,1000,73.98120999336243,results/Aug_27_18_38_20_collision_offramp_sweep_84/models/model_collision_offramp_sweep_seed_84.zip
Aug_27_18_38_20_collision_offramp_sweep_84,,200,50,4032,0.017,0.978,20.681455761983468,19.861990076360737,0.005,1000,74.39942860603333,results/Aug_27_18_38_20_collision_offramp_sweep_84/models/model_collision_offramp_sweep_seed_84.zip
Aug_27_18_39_04_collision_offramp_sweep_84,,200,100,32,0.039,0.959,18.554627131258965,19.565977076701746,0.003,1000,82.23043036460876,results/Aug_27_18_39_04_collision_offramp_sweep_84/models/model_collision_offramp_sweep_seed_84.zip
Aug_27_18_39_04_collision_offramp_sweep_84,,200,100,1032,0.025,0.968,18.44957363615353,19.530028987525956,0.008,1000,82.74855637550354,results/Aug_27_18_39_04_collision_offramp_sweep_84/models/model_collision_offramp_sweep_seed_84.zip
Aug_27_18_39_04_collision_offramp_sweep_84,,200,100,2032,0.027,0.972,18.65464978991234,19.556679104082992,0.002,1000,82.18280100822449,results/Aug_27_18_39_04_collision_offramp_sweep_84/models/model_collision_offramp_sweep_seed_84.zip
Aug_27_18_39_04_collision_offramp_sweep_84,,200,100,3032,0.024,0.976,18.55880510188552,19.48018341521951,0.002,1000,82.20916962623596,results/Aug_27_18_39_04_collision_offramp_sweep_84/models/model_collision_offramp_sweep_seed_84.zip
Aug_27_18_39_04_collision_offramp_sweep_84,,200,100,4032,0.03,0.967,18.573799723300393,19.508825484572622,0.004,1000,82.45973443984985,results/Aug_27_18_39_04_collision_offramp_sweep_84/models/model_collision_offramp_sweep_seed_84.zip
Aug_27_18_40_28_collision_offramp_sweep_84,,200,200,32,0.005,0.991,15.916028901448936,19.19024358202978,0.005,1000,96.20095324516296,results/Aug_27_18_40_28_collision_offramp_sweep_84/models/model_collision_offramp_sweep_seed_84.zip
Aug_27_18_40_28_collision_offramp_sweep_84,,200,200,1032,0.004,0.992,15.957423212835144,19.191679264115376,0.009,1000,95.2732298374176,results/Aug_27_18_40_28_collision_offramp_sweep_84/models/model_collision_offramp_sweep_seed_84.zip
Aug_27_18_40_28_collision_offramp_sweep_84,,200,200,2032,0.013,0.987,15.830413493418098,19.186568338073563,0.002,1000,96.98940992355347,results/Aug_27_18_40_28_collision_offramp_sweep_84/models/model_collision_offramp_sweep_seed_84.zip
Aug_27_18_40_28_collision_offramp_sweep_84,,200,200,3032,0.013,0.986,15.798215665214185,19.140373368553135,0.001,1000,96.633474111557,results/Aug_27_18_40_28_collision_offramp_sweep_84/models/model_collision_offramp_sweep_seed_84.zip
Aug_27_18_40_28_collision_offramp_sweep_84,,200,200,4032,0.008,0.989,15.813159555997592,19.16350192853087,0.008,1000,96.0197229385376,results/Aug_27_18_40_28_collision_offramp_sweep_84/models/model_collision_offramp_sweep_seed_84.zip
Aug_27_21_54_45_collision_offramp_sweep_84,,400,0,32,0.018,0.966,20.47686883201656,19.84614313227091,0.002,1000,75.10996007919312,results/Aug_27_21_54_45_collision_offramp_sweep_84/models/model_collision_offramp_sweep_seed_84.zip
Aug_27_21_54_45_collision_offramp_sweep_84,,400,0,1032,0.011,0.969,20.36230702963422,19.803664485560084,0.006,1000,74.72394490242004,results/Aug_27_21_54_45_collision_offramp_sweep_84/models/model_collision_offramp_sweep_seed_84.zip
Aug_27_21_54_45_collision_offramp_sweep_84,,400,0,2032,0.033,0.95,20.479159739812914,19.854021085908617,0.002,1000,73.86662602424622,results/Aug_27_21_54_45_collision_offramp_sweep_84/models/model_collision_offramp_sweep_seed_84.zip
Aug_27_21_54_45_collision_offramp_sweep_84,,400,0,3032,0.019,0.962,20.543752560358833,19.83771268159296,0.001,1000,74.4099452495575,results/Aug_27_21_54_45_collision_offramp_sweep_84/models/model_collision_offramp_sweep_seed_84.zip
Aug_27_21_54_45_collision_offramp_sweep_84,,400,0,4032,0.011,0.967,20.56891691416989,19.82749161601623,0.005,1000,74.45084166526794,results/Aug_27_21_54_45_collision_offramp_sweep_84/models/model_collision_offramp_sweep_seed_84.zip
Aug_27_21_56_00_collision_offramp_sweep_84,,400,25,32,0.02,0.976,19.000490138571326,19.55688293525479,0.002,1000,80.41382193565369,results/Aug_27_21_56_00_collision_offramp_sweep_84/models/model_collision_offramp_sweep_seed_84.zip
Aug_27_21_56_00_collision_offramp_sweep_84,,400,25,1032,0.012,0.984,18.849130330614663,19.506503580982876,0.005,1000,81.14755058288574,results/Aug_27_21_56_00_collision_offramp_sweep_84/models/model_collision_offramp_sweep_seed_84.zip
Aug_27_21_56_00_collision_offramp_sweep_84,,400,25,2032,0.022,0.976,18.978904180500763,19.529420980996886,0.004,1000,80.96575689315796,results/Aug_27_21_56_00_collision_offramp_sweep_84/models/model_collision_offramp_sweep_seed_84.zip
Aug_27_21_56_00_collision_offramp_sweep_84,,400,25,3032,0.028,0.97,18.898936657266763,19.516024769287277,0.001,1000,79.89315581321716,results/Aug_27_21_56_00_collision_offramp_sweep_84/models/model_collision_offramp_sweep_seed_84.zip
Aug_27_21_56_00_collision_offramp_sweep_84,,400,25,4032,0.014,0.981,19.041013489714178,19.517119998437074,0.004,1000,80.85194611549377,results/Aug_27_21_56_00_collision_offramp_sweep_84/models/model_collision_offramp_sweep_seed_84.zip
Aug_27_21_57_44_collision_offramp_sweep_84,,400,50,32,0.024,0.974,19.902297121262016,19.707569029627138,0.002,1000,77.42695212364197,results/Aug_27_21_57_44_collision_offramp_sweep_84/models/model_collision_offramp_sweep_seed_84.zip
Aug_27_21_57_44_collision_offramp_sweep_84,,400,50,1032,0.025,0.974,19.68383391081848,19.64912629757549,0.005,1000,77.88525152206421,results/Aug_27_21_57_44_collision_offramp_sweep_84/models/model_collision_offramp_sweep_seed_84.zip
Aug_27_21_57_44_collision_offramp_sweep_84,,400,50,2032,0.015,0.986,19.81831355445731,19.674167121891017,0.0,1000,77.5072615146637,results/Aug_27_21_57_44_collision_offramp_sweep_84/models/model_collision_offramp_sweep_seed_84.zip
Aug_27_21_57_44_collision_offramp_sweep_84,,400,50,3032,0.014,0.987,19.770459606551956,19.633849248790604,0.001,1000,77.84951686859131,results/Aug_27_21_57_44_collision_offramp_sweep_84/models/model_collision_offramp_sweep_seed_84.zip
Aug_27_21_57_44_collision_offramp_sweep_84,,400,50,4032,0.028,0.967,19.822006020661224,19.668537868330002,0.004,1000,76.72926378250122,results/Aug_27_21_57_44_collision_offramp_sweep_84/models/model_collision_offramp_sweep_seed_84.zip
Aug_27_22_00_18_collision_offramp_sweep_84,,400,100,32,0.021,0.977,18.520594158847956,19.52613546992825,0.002,1000,82.60167622566223,results/Aug_27_22_00_18_collision_offramp_sweep_84/models/model_collision_offramp_sweep_seed_84.zip
Aug_27_22_00_18_collision_offramp_sweep_84,,400,100,1032,0.021,0.974,18.421929816333314,19.48635173239072,0.006,1000,81.86611533164978,results/Aug_27_22_00_18_collision_offramp_sweep_84/models/model_collision_offramp_sweep_seed_84.zip
Aug_27_22_00_18_collision_offramp_sweep_84,,400,100,2032,0.02,0.978,18.671154547496556,19.516502955687987,0.002,1000,81.5268006324768,results/Aug_27_22_00_18_collision_offramp_sweep_84/models/model_collision_offramp_sweep_seed_84.zip
Aug_27_22_00_18_collision_offramp_sweep_84,,400,100,3032,0.022,0.974,18.74634231003435,19.495882625418126,0.001,1000,80.14947080612183,results/Aug_27_22_00_18_collision_offramp_sweep_84/models/model_collision_offramp_sweep_seed_84.zip
Aug_27_22_00_18_collision_offramp_sweep_84,,400,100,4032,0.017,0.979,18.673277069919795,19.501128467850616,0.005,1000,80.69190526008606,results/Aug_27_22_00_18_collision_offramp_sweep_84/models/model_collision_offramp_sweep_seed_84.zip
Aug_27_22_00_19_collision_offramp_sweep_84,,400,200,32,0.015,0.983,16.699994139731846,19.24075718134646,0.004,1000,92.20029616355896,results/Aug_27_22_00_19_collision_offramp_sweep_84/models/model_collision_offramp_sweep_seed_84.zip
Aug_27_22_00_19_collision_offramp_sweep_84,,400,200,1032,0.013,0.983,16.624915112538055,19.223355976245287,0.007,1000,90.80279803276062,results/Aug_27_22_00_19_collision_offramp_sweep_84/models/model_collision_offramp_sweep_seed_84.zip
Aug_27_22_00_19_collision_offramp_sweep_84,,400,200,2032,0.014,0.986,16.60943732569843,19.223104543006254,0.001,1000,90.4571852684021,results/Aug_27_22_00_19_collision_offramp_sweep_84/models/model_collision_offramp_sweep_seed_84.zip
Aug_27_22_00_19_collision_offramp_sweep_84,,400,200,3032,0.012,0.987,16.675683329016938,19.19917884658795,0.003,1000,90.91584205627441,results/Aug_27_22_00_19_collision_offramp_sweep_84/models/model_collision_offramp_sweep_seed_84.zip
Aug_27_22_00_19_collision_offramp_sweep_84,,400,200,4032,0.016,0.98,16.55250342140827,19.20420030789563,0.004,1000,90.7446882724762,results/Aug_27_22_00_19_collision_offramp_sweep_84/models/model_collision_offramp_sweep_seed_84.zip
